J1621222;462;no running account;;no previous credits;furniture;$5 551,00;no savings;<1 year;< 15;single;male;5-8 years;life insurance;32;no further running credits;rented;one;skilled employee;Suburban;0;Test;0,984064356;bad
J3818185;595;<= $300;;no previous credits;furniture;$2 633,40;no savings;1-5 years;25-35;divorced/living apart/married;female;1-5 years;life insurance;42;no further running credits;free;one;unskilled with permanant residence;Urban;0;Test;0,984064356;good
J3818185;691;no balance;;no previous credits;furniture;$2 965,20;no savings;1-5 years;25-35;single;male;1-5 years;no assets;35;no further running credits;rented;one;unskilled with permanant residence;Rural;0;Test;0,984064356;good
J3818185;652;>$300;;no problems with current credits;furniture;$2 069,20;no savings;1-5 years;< 15;married/widowed;male;5-8 years;no assets;31;at other banks;rented;2- 4;skilled employee;Suburban;0;Test;0,984064356;good
M5896292;591;>$300;24;;new car;$3 738,00;no savings;> 8 years;< 15;single;male;>8 years;life insurance;33;no further running credits;rented;one;executive/self-employed;Suburban;0;Train;0,984064356;good
R659265;619;no balance;12;no previous credits;retraining;$1 177,40;<140;5-8 years;25-35;divorced/living apart/married;female;>8 years;no assets;21;no further running credits;free;one;unskilled with permanant residence;Urban;0;Test;0,984064356;good
K9656170;669;>$300;15;no previous credits;other;$7 453,60;140-700;> 8 years;> 35;divorced/living apart/married;female;>8 years;ownership of house or land;33;no further running credits;owned;one;skilled employee;Rural;0;Train;0,984064356;good
K206482;664;no running account;27;no previous credits;furniture;$4 782,40;no savings;1-5 years;15- 25;single;male;1-5 years;life insurance;25;no further running credits;rented;one;executive/self-employed;Suburban;0;Train;0,984064356;good
K2443130;629;no balance;10;no previous credits;used car;$2 129,40;no savings;1-5 years;< 15;divorced/living apart;male;1-5 years;life insurance;29;no further running credits;rented;one;unskilled with permanant residence;Suburban;0;Train;0,984064356;good
K7452658;;no running account;18;no previous credits;other;$1 702,40;no savings;<1 year;< 15;divorced/living apart/married;female;5-8 years;life insurance;21;no further running credits;free;one;skilled employee;Urban;0;Train;0,984064356;bad
K4544975;618;<= $300;24;paid back;furniture;$4 407,20;>1400;1-5 years;15- 25;single;male;1-5 years;life insurance;29;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;good
K3438769;495;no balance;24;no previous credits;new car;$5 758,20;140-700;<1 year;15- 25;divorced/living apart/married;female;>8 years;life insurance;26;no further running credits;free;one;skilled employee;Rural;0;Test;0,984064356;bad
M7881989;604;>$300;24;no previous credits;other;$1 748,60;no savings;<1 year;< 15;married/widowed;male;1-5 years;no assets;26;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
K4430665;582;>$300;6;no previous credits;used car;$4 169,20;140-700;1-5 years;> 35;single;male;1-5 years;life insurance;30;no further running credits;rented;one;skilled employee;Suburban;0;Test;0,984064356;good
K9925962;462;>$300;12;paid back;retraining;$3 208,80;no savings;unemployed;< 15;single;male;1-5 years;life insurance;40;at department store;rented;2- 4;executive/self-employed;Rural;0;Test;0,984064356;bad
K1307266;594;>$300;12;paid back;retraining;$1 769,60;>1400;> 8 years;< 15;single;male;>8 years;ownership of house or land;55;no further running credits;free;one;unskilled with permanant residence;Rural;0;Train;0,984064356;good
R7239205;586;>$300;18;paid back;used car;$5 292,00;no savings;<1 year;15- 25;divorced/living apart;male;1-5 years;life insurance;33;no further running credits;rented;2- 4;executive/self-employed;Rural;0;Test;0,984064356;good
K9829077;647;>$300;15;no previous credits;other;$4 460,40;700-1400;5-8 years;25-35;divorced/living apart/married;female;5-8 years;life insurance;18;no further running credits;free;one;skilled employee;Rural;0;Train;0,984064356;good
J6422053;659;>$300;60;N/A;other;$14 512,40;no savings;> 8 years;25-35;single;male;>8 years;car;40;no further running credits;rented;one;executive/self-employed;Suburban;0;Train;0,984064356;good
R8951226;665;>$300;18;paid back;furniture;$8 498,00;no savings;> 8 years;15- 25;single;male;>8 years;life insurance;31;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;good
R8449320;622;>$300;24;paid back;new car;$8 125,60;700-1400;1-5 years;< 15;single;male;1-5 years;no assets;25;no further running credits;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
K5919978;559;no running account;24;no previous credits;used car;$10 809,40;>1400;<1 year;> 35;divorced/living apart/married;female;1-5 years;car;28;no further running credits;rented;one;skilled employee;Urban;0;Test;0,984064356;good
K131503;;>$300;6;paid back;other;$10 350,00;700-1400;1-5 years;25-35;divorced/living apart/married;female;1-5 years;no assets;39;at other banks;rented;2- 4;unskilled with permanant residence;Urban;0;Train;0,984064356;good
K373591;671;>$300;6;no previous credits;used car;$2 160,20;700-1400;1-5 years;< 15;divorced/living apart;male;1-5 years;no assets;31;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
K9771573;684;no balance;11;no previous credits;used car;$2 207,80;700-1400;<1 year;< 15;divorced/living apart/married;female;< 1 year;no assets;18;no further running credits;rented;one;skilled employee;Suburban;0;Test;0,984064356;good
K9771573;644;no balance;15;paid back;furniture;$3 819,20;>1400;5-8 years;< 15;single;male;1-5 years;no assets;33;at other banks;rented;5- 6;skilled employee;Rural;0;Train;0,984064356;good
K9771573;688;>$300;24;no problems with current credits;other;$1 003,80;>1400;> 8 years;< 15;married/widowed;male;>8 years;life insurance;52;no further running credits;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
J5563614;660;no running account;6;N/A;other;$1 204,00;no savings;> 8 years;> 35;divorced/living apart/married;female;>8 years;ownership of house or land;37;no further running credits;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
M3024349;435;>$300;18;no previous credits;household appliances;$2 720,20;no savings;<1 year;< 15;divorced/living apart/married;female;>8 years;no assets;21;no further running credits;rented;one;skilled employee;Urban;1;Train;0,984064356;bad
K2697150;;no running account;36;no previous credits;other;$12 979,40;no savings;5-8 years;25-35;single;male;< 1 year;life insurance;22;no further running credits;rented;one;skilled employee;Rural;1;Train;0,984064356;bad
R27873;670;>$300;15;paid back;furniture;$1 842,40;140-700;1-5 years;25-35;married/widowed;male;1-5 years;car;45;no further running credits;rented;2- 4;unskilled with permanant residence;Rural;0;Train;0,984064356;good
M2118022;680;>$300;24;no previous credits;new car;$4 883,20;<140;5-8 years;15- 25;divorced/living apart/married;female;>8 years;life insurance;21;no further running credits;rented;one;skilled employee;Suburban;0;Train;0,984064356;good
K1075694;421;no running account;21;no previous credits;furniture;$2 569,00;no savings;1-5 years;15- 25;divorced/living apart/married;female;1-5 years;no assets;23;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;bad
R9564926;646;no running account;18;hesistant;retraining;$4 345,60;no savings;5-8 years;15- 25;single;male;< 1 year;car;29;at other banks;rented;one;skilled employee;Suburban;0;Train;0,984064356;good
R55450;457;no balance;12;no previous credits;other;$1 170,40;<140;<1 year;< 15;divorced/living apart/married;female;1-5 years;car;21;at other banks;rented;one;unskilled with permanant residence;Rural;0;Test;0,984064356;bad
J7835495;698;>$300;;N/A;used car;$7 715,40;<140;1-5 years;< 15;single;male;< 1 year;life insurance;23;at department store;rented;one;skilled employee;Urban;0;Test;0,984064356;good
K408073;649;<= $300;;no previous credits;other;$2 745,40;no savings;> 8 years;15- 25;divorced/living apart/married;female;1-5 years;life insurance;21;no further running credits;rented;one;executive/self-employed;Urban;0;Test;0,984064356;good
K8221562;592;no balance;;no previous credits;other;$10 231,20;no savings;unemployed;25-35;single;male;>8 years;ownership of house or land;68;at other banks;owned;one;executive/self-employed;Rural;0;Test;0,984064356;good
K6032322;;>$300;;paid back;furniture;$3 393,60;>1400;> 8 years;< 15;single;male;>8 years;car;51;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;good
K4539950;427;no balance;;no problems with current credits;other;$3 115,00;no savings;> 8 years;< 15;single;male;>8 years;ownership of house or land;55;at other banks;owned;2- 4;skilled employee;Rural;0;Train;0,984064356;bad
K8447366;648;>$300;;no previous credits;furniture;$2 233,00;no savings;5-8 years;15- 25;single;male;1-5 years;car;49;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
J30327;;no balance;;N/A;business;$25 793,60;no savings;1-5 years;> 35;divorced/living apart/married;female;1-5 years;car;30;at other banks;rented;one;executive/self-employed;Rural;0;Train;0,984064356;bad
R5973743;371;no running account;;problematic running accounts;used car;$9 620,80;no savings;<1 year;25-35;divorced/living apart;male;< 1 year;car;53;at other banks;rented;one;skilled employee;Suburban;1;Train;0,984064356;bad
R9264485;628;no balance;;no problems with current credits;other;$10 404,80;no savings;1-5 years;25-35;divorced/living apart/married;female;1-5 years;car;52;no further running credits;free;one;skilled employee;Rural;0;Train;0,984064356;good
R8711592;654;>$300;30;paid back;new car;$10 634,40;>1400;> 8 years;> 35;single;male;>8 years;life insurance;61;no further running credits;rented;2- 4;skilled employee;Suburban;0;Train;0,984064356;good
K6216730;638;no running account;30;no previous credits;new car;$5 399,80;no savings;1-5 years;< 15;divorced/living apart;male;>8 years;car;38;no further running credits;rented;one;executive/self-employed;Rural;0;Test;0,984064356;good
J5609889;582;<= $300;10;N/A;furniture;$1 885,80;>1400;5-8 years;< 15;single;male;1-5 years;car;25;no further running credits;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
J6373918;719;no balance;30;no previous credits;furniture;$4 187,40;>1400;> 8 years;25-35;divorced/living apart/married;female;>8 years;life insurance;23;no further running credits;rented;one;skilled employee;Urban;0;Test;0,984064356;good
M3685769;670;no balance;36;;repair;$5 195,40;>1400;1-5 years;25-35;married/widowed;male;1-5 years;life insurance;25;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
K7454594;642;no balance;6;no problems with current credits;retraining;$2 028,60;<140;> 8 years;> 35;divorced/living apart;male;1-5 years;life insurance;29;at other banks;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
K8270979;546;no balance;48;problematic running accounts;other;$17 036,60;>1400;unemployed;< 15;single;male;>8 years;ownership of house or land;34;no further running credits;owned;one;executive/self-employed;Suburban;0;Train;0,984064356;good
M6374245;366;no running account;12;no previous credits;repair;$1 113,00;no savings;<1 year;< 15;divorced/living apart/married;female;>8 years;car;51;no further running credits;rented;one;skilled employee;Rural;1;Train;0,984064356;bad
J1207477;622;>$300;15;no previous credits;new car;$1 820,00;>1400;> 8 years;< 15;single;male;>8 years;ownership of house or land;43;at other banks;owned;one;skilled employee;Rural;0;Test;0,984064356;good
K1794227;716;>$300;;no problems with current credits;new car;$12 525,80;>1400;5-8 years;15- 25;single;male;1-5 years;life insurance;29;at department store;rented;one;executive/self-employed;Urban;0;Train;0,984064356;good
R4464144;554;>$300;;paid back;furniture;$3 757,60;no savings;1-5 years;< 15;single;male;1-5 years;no assets;33;no further running credits;rented;2- 4;unskilled with permanant residence;Rural;0;Test;0,984064356;good
K2111736;647;no running account;;paid back;other;$799,40;no savings;> 8 years;< 15;single;male;>8 years;no assets;63;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;good
M3259286;711;<= $300;;no previous credits;television;$1 715,00;no savings;1-5 years;25-35;single;male;1-5 years;life insurance;35;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
M6741022;622;no balance;;no problems with current credits;new car;$8 351,00;no savings;> 8 years;> 35;single;male;1-5 years;life insurance;28;no further running credits;rented;2- 4;executive/self-employed;Suburban;0;Train;0,984064356;good
K6589041;656;>$300;;paid back;household appliances;$1 394,40;>1400;5-8 years;< 15;divorced/living apart/married;female;>8 years;no assets;21;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;good
M8632200;650;>$300;;no previous credits;furniture;$2 172,80;no savings;5-8 years;15- 25;single;male;< 1 year;life insurance;30;at other banks;rented;one;skilled employee;Suburban;0;Train;0,984064356;good
K7151033;426;>$300;;problematic running accounts;new car;$10 479,00;>1400;unemployed;< 15;divorced/living apart/married;female;< 1 year;no assets;51;at other banks;rented;one;executive/self-employed;Urban;0;Test;0,984064356;bad
K5868460;;no running account;;no previous credits;used car;$912,80;no savings;> 8 years;< 15;divorced/living apart/married;female;>8 years;car;22;no further running credits;free;one;skilled employee;Suburban;0;Train;0,984064356;good
K6830144;675;no running account;;paid back;furniture;$539,00;no savings;5-8 years;< 15;divorced/living apart/married;female;5-8 years;no assets;56;no further running credits;rented;7 or more;unskilled with permanant residence;Rural;0;Train;0,984064356;good
R8390839;590;no balance;;no previous credits;furniture;$1 528,80;no savings;1-5 years;< 15;divorced/living apart/married;female;>8 years;no assets;47;no further running credits;rented;2- 4;skilled employee;Urban;0;Test;0,984064356;good
J6012975;682;no balance;;N/A;retraining;$6 596,80;>1400;1-5 years;< 15;single;male;1-5 years;car;32;at other banks;rented;2- 4;executive/self-employed;Rural;0;Test;0,984064356;good
K7431526;670;>$300;;paid back;repair;$1 741,60;>1400;> 8 years;< 15;divorced/living apart/married;female;>8 years;car;39;no further running credits;free;2- 4;unskilled with permanant residence;Rural;0;Train;0,984064356;good
R5185931;695;>$300;;problematic running accounts;furniture;$2 450,00;140-700;> 8 years;25-35;single;male;>8 years;car;43;at other banks;rented;one;unskilled with permanant residence;Rural;0;Train;0,984064356;good
K5237173;642;no balance;;;retraining;$3 670,80;<140;1-5 years;< 15;single;male;>8 years;life insurance;32;no further running credits;rented;one;skilled employee;Urban;0;Train;0,984064356;good
R2272352;664;>$300;;paid back;repair;$1 310,40;140-700;> 8 years;< 15;single;male;1-5 years;life insurance;50;no further running credits;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
K7441520;671;no balance;;no previous credits;furniture;$7 117,60;>1400;> 8 years;25-35;divorced/living apart/married;female;>8 years;life insurance;40;no further running credits;rented;one;skilled employee;Suburban;0;Test;0,984064356;good
K4738237;604;>$300;36;no problems with current credits;other;$15 225,00;no savings;> 8 years;25-35;single;male;1-5 years;life insurance;43;no further running credits;rented;2- 4;skilled employee;Urban;0;Test;0,984064356;good
J2881715;490;>$300;48;N/A;retraining;$5 479,60;>1400;1-5 years;< 15;divorced/living apart;male;1-5 years;no assets;36;at other banks;rented;one;skilled employee;Rural;0;Test;0,984064356;bad
K7907693;571;no running account;42;no previous credits;used car;$11 034,80;no savings;5-8 years;25-35;single;male;>8 years;car;43;no further running credits;owned;one;skilled employee;Rural;0;Train;0,984064356;good
R3565939;460;>$300;18;no previous credits;furniture;$606,20;no savings;unemployed;15- 25;divorced/living apart/married;female;>8 years;no assets;20;no further running credits;free;one;skilled employee;Rural;0;Train;0,984064356;bad
R5278615;557;>$300;12;paid back;furniture;$1 003,80;no savings;> 8 years;< 15;single;male;>8 years;no assets;50;no further running credits;rented;5- 6;skilled employee;Urban;0;Test;0,984064356;good
M5029853;649;>$300;13;no previous credits;furniture;$1 972,60;<140;unemployed;25-35;divorced/living apart/married;female;>8 years;no assets;62;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
K5675443;390;no balance;6;problematic running accounts;repair;$606,20;700-1400;<1 year;< 15;divorced/living apart/married;female;1-5 years;car;22;at other banks;free;one;skilled employee;Urban;1;Train;0,984064356;bad
R6070460;659;>$300;24;no previous credits;furniture;$1 835,40;<140;5-8 years;< 15;married/widowed;male;5-8 years;car;24;no further running credits;rented;one;skilled employee;Suburban;0;Train;0,984064356;good
M2280130;621;>$300;24;;furniture;$1 789,20;no savings;> 8 years;< 15;single;male;< 1 year;no assets;34;no further running credits;rented;one;executive/self-employed;Rural;0;Train;0,984064356;good
M9921120;689;>$300;24;no previous credits;used car;$5 560,80;no savings;5-8 years;25-35;divorced/living apart/married;female;>8 years;car;23;no further running credits;free;one;skilled employee;Urban;0;Test;0,984064356;good
K6300640;443;no running account;6;paid back;used car;$4 737,60;no savings;1-5 years;> 35;divorced/living apart;male;>8 years;no assets;42;no further running credits;free;one;executive/self-employed;Rural;0;Train;0,984064356;bad
R2467737;609;>$300;6;no previous credits;furniture;$1 884,40;<140;> 8 years;25-35;single;male;>8 years;ownership of house or land;40;at other banks;owned;one;skilled employee;Urban;0;Train;0,984064356;good
J4317545;694;no running account;24;N/A;new car;$4 149,60;>1400;> 8 years;< 15;single;male;>8 years;ownership of house or land;47;at other banks;owned;one;skilled employee;Rural;0;Test;0,984064356;good
R1403065;641;no balance;24;paid back;furniture;$2 440,20;no savings;> 8 years;< 15;single;male;1-5 years;car;46;no further running credits;rented;2- 4;unskilled with permanant residence;Suburban;0;Train;0,984064356;good
K8671920;654;>$300;18;;furniture;$2 214,80;700-1400;> 8 years;< 15;single;male;>8 years;life insurance;44;no further running credits;rented;2- 4;skilled employee;Urban;0;Train;0,984064356;good
K4616125;432;no balance;24;no previous credits;other;$1 897,00;no savings;<1 year;15- 25;divorced/living apart/married;female;>8 years;life insurance;23;no further running credits;rented;one;unskilled with permanant residence;Suburban;0;Train;0,984064356;bad
J1937904;;>$300;24;paid back;used car;$2 219,00;no savings;5-8 years;< 15;single;male;5-8 years;car;38;no further running credits;rented;2- 4;skilled employee;Rural;0;Test;0,984064356;good
K710233;671;>$300;12;no previous credits;other;$896,00;no savings;1-5 years;< 15;divorced/living apart;male;1-5 years;no assets;47;no further running credits;rented;one;unskilled with permanant residence;Rural;0;Train;0,984064356;good
R246312;608;>$300;6;paid back;furniture;$2 175,60;no savings;5-8 years;> 35;divorced/living apart/married;female;1-5 years;life insurance;22;no further running credits;free;2- 4;skilled employee;Suburban;0;Train;0,984064356;good
J8980826;548;>$300;12;N/A;household appliances;$2 177,00;700-1400;> 8 years;< 15;single;male;>8 years;ownership of house or land;53;no further running credits;owned;2- 4;skilled employee;Suburban;0;Train;0,984064356;bad
J7922987;578;>$300;24;paid back;retraining;$5 794,60;<140;1-5 years;15- 25;single;male;5-8 years;car;25;no further running credits;rented;2- 4;unskilled with permanant residence;Suburban;0;Train;0,984064356;good
R5424692;490;no balance;21;no previous credits;retraining;$3 873,80;<140;> 8 years;< 15;divorced/living apart;male;1-5 years;life insurance;59;no further running credits;free;2- 4;unskilled with permanant residence;Suburban;1;Train;0,984064356;bad
R7032008;617;>$300;12;paid back;furniture;$3 263,40;>1400;> 8 years;> 35;single;male;>8 years;no assets;47;no further running credits;rented;one;skilled employee;Rural;0;Train;0,984064356;good
R9035021;660;>$300;9;no previous credits;used car;$1 838,20;no savings;> 8 years;> 35;single;male;>8 years;life insurance;18;no further running credits;rented;one;skilled employee;Rural;0;Test;0,984064356;good
J178183;627;no balance;26;N/A;new car;$11 152,40;no savings;<1 year;25-35;single;male;5-8 years;life insurance;28;no further running credits;rented;2- 4;skilled employee;Rural;0;Test;0,984064356;good
K1089434;649;no running account;24;paid back;new car;$9 261,00;no savings;unemployed;25-35;single;male;>8 years;ownership of house or land;73;no further running credits;owned;2- 4;executive/self-employed;Urban;0;Train;0,984064356;good
R5101580;388;no running account;30;no previous credits;used car;$8 890,00;>1400;> 8 years;< 15;single;male;>8 years;car;29;no further running credits;rented;one;skilled employee;Rural;1;Train;0,984064356;bad
J4458483;461;no balance;24;no previous credits;other;$3 805,20;no savings;1-5 years;15- 25;divorced/living apart/married;female;>8 years;car;18;no further running credits;free;one;unskilled with permanant residence;Suburban;1;Train;0,984064356;bad
R2548372;605;>$300;4;paid back;furniture;$2 161,60;no savings;5-8 years;25-35;single;male;< 1 year;no assets;40;no further running credits;rented;5- 6;unskilled with permanant residence;Rural;0;Train;0,984064356;good
K6916931;461;no running account;24;no previous credits;other;$1 933,40;>1400;1-5 years;< 15;divorced/living apart/married;female;1-5 years;car;33;no further running credits;rented;one;skilled employee;Suburban;0;Train;0,808416486;bad
J22557;374;no balance;48;;used car;$13 944,00;no savings;<1 year;> 35;divorced/living apart/married;female;1-5 years;life insurance;24;at other banks;rented;one;skilled employee;Rural;1;Train;0,14726901;bad
